id,created_at,updated_at,courses
58418,10/23/14 0:04,10/23/14 0:14,s15_17683 s15_17711 s15_17089 s15_8370 s15_17302 s15_14174 s15_14175 s15_14443 s15_17592
58365,10/21/14 18:14,10/23/14 1:02,s15_7351 s15_15952 s15_12973 s15_17673
54580,9/1/14 19:50,10/23/14 2:54,s15_17683 s15_17684 s15_17089 s15_8370 s15_17302 s15_17592 s15_14443
11949,4/18/13 23:30,10/23/14 5:24,f14_1477 f14_1315 f14_9982 f14_1476 s15_7364 s15_7366 s15_17137 s15_9555 s15_10637
57787,10/3/14 14:32,10/23/14 16:41,s15_7199 s15_17302
58463,10/23/14 21:02,10/23/14 21:03,s15_17796 s15_15963
54692,9/1/14 23:51,10/23/14 21:42,s15_15890 s15_16984 s15_17779 s15_16066 s15_17683 s15_17508
58468,10/23/14 21:50,10/23/14 21:55,s15_15890 s15_16984 s15_17779 s15_16066 s15_17683 s15_17508
58467,10/23/14 21:50,10/23/14 21:59,s15_17262 s15_7240 s15_7358
58477,10/24/14 2:24,10/24/14 2:26,s15_7140 s15_17793 s15_16126 s15_17796
58520,10/24/14 19:56,10/24/14 20:02,s15_17638 s15_17888 s15_17875 s15_7382
58542,10/24/14 23:05,10/24/14 23:19,s15_15186 s15_17269 s15_7382
16970,8/11/13 17:22,10/25/14 3:17,s15_17807 s15_15089 s15_17755
58580,10/25/14 14:13,10/25/14 14:27,s15_17429 s15_15927 s15_17744 s15_14751 s15_7855
58586,10/25/14 16:12,10/25/14 16:16,s15_12973 s15_7483 s15_17103 s15_17104 s15_17730
31211,11/11/13 2:26,10/25/14 19:52,s15_7352 s15_7353
58634,10/26/14 1:19,10/26/14 1:23,s15_17807 s15_17808
38267,1/21/14 15:33,10/26/14 12:36,s15_15492 s15_12972 s15_14907
58680,10/26/14 17:46,10/26/14 18:04,s15_17927 s15_15498 s15_16018 s15_18000 s15_17711
58721,10/26/14 22:14,10/26/14 23:48,s15_14286 s15_17635 s15_17487 s15_14907 s15_15492 s15_17239 s15_17723 s15_17732 s15_17137 s15_14974 s15_17207 s15_7311 s15_17674 s15_17894 s15_17892
58648,10/26/14 3:57,10/27/14 0:51,s15_17021 s15_17890 s15_17723 s15_13608 s15_17163
58751,10/27/14 0:47,10/27/14 1:12,s15_17084 s15_17085 s15_17086 s15_17087 s15_17088 s15_17642 s15_17643 s15_17262 s15_17263 s15_16143 s15_17991 s15_15988 s15_18001 s15_17891
727,10/27/12 18:17,10/27/14 1:14,s15_9228 s15_7716 s15_14600 s15_15480 s15_14443 s15_7396 s15_7486
58767,10/27/14 1:15,10/27/14 1:16,s15_17698 s15_17699 s15_15153
58768,10/27/14 1:22,10/27/14 2:00,s15_7237 s15_13533 s15_16984 s15_14286 s15_17794 s15_17733 s15_14763 s15_17219 s15_14918 s15_17501
58801,10/27/14 2:53,10/27/14 3:09,s15_14911 s15_14912 s15_17290 s15_17875
58818,10/27/14 8:12,10/27/14 8:14,s15_17695 s15_17697 s15_17925 s15_17698 s15_17701 s15_15153 s15_14974 s15_16505 s15_17725
1169,11/6/12 3:33,10/27/14 13:05,s15_12964 s15_7483
58541,10/24/14 22:43,10/27/14 13:29,s15_7486 s15_7483 s15_11661
58849,10/27/14 15:32,10/27/14 15:34,s15_17113 s15_17532 s15_11709 s15_15863 s15_17755
58886,10/27/14 17:31,10/27/14 17:49,s15_17703 s15_7285 s15_17241 s15_18028
58887,10/27/14 17:35,10/27/14 18:10,s15_17325 s15_18001 s15_11137
58891,10/27/14 18:02,10/27/14 18:17,s15_15039 s15_17701 s15_17240 s15_14974
58921,10/27/14 19:41,10/27/14 19:45,s15_12972 s15_17103 s15_14595
58766,10/27/14 1:14,10/27/14 20:49,s15_17927 s15_17718 s15_12397 s15_16056 s15_12971
58939,10/27/14 21:05,10/27/14 21:19,s15_15186 s15_16401 s15_17695 s15_17241
50407,6/24/14 14:55,10/27/14 22:51,s15_14974 s15_17796 s15_15963 s15_7160
