id,created_at,updated_at,courses
109902,10/19/15 18:56,10/19/15 19:08,s16_12973 s16_7230 s16_18115
109903,10/19/15 19:12,10/19/15 19:20,s16_18114 s16_7470
109972,10/20/15 1:42,10/20/15 2:02,s16_18058 s16_7253
108732,10/16/15 19:27,10/20/15 2:07,s16_17263 s16_7285 s16_7079 s16_15734 s16_12590 s16_7761 s16_7946
110036,10/20/15 11:29,10/20/15 11:47,s16_18154 s16_18096 s16_18109 s16_17689 s16_18354 s16_17941 s16_18166 s16_18168 s16_18169 s16_17770 s16_7678
110444,10/21/15 7:22,10/21/15 7:26,s16_18212 s16_18215 s16_7219
110950,10/22/15 15:32,10/22/15 15:55,s16_18142 s16_18100 s16_18174 s16_18181 s16_18281 s16_18285 s16_18287 s16_16055 s16_18118
94700,9/8/15 15:48,10/22/15 17:42,s16_12608 s16_12611 s16_14602 s16_18243 s16_18159
52553,8/24/14 22:51,10/23/15 15:23,s16_18246 s16_18271 s16_15039 s16_18408 s16_18347
111299,10/23/15 18:45,10/23/15 19:05,s16_18228 s16_17871 s16_16663 s16_18304
111336,10/23/15 22:30,10/23/15 22:34,s16_12970 s16_16472 s16_18195 s16_17325 s16_18132
84240,8/1/15 20:11,10/24/15 4:04,s16_8370 s16_7895 s16_18324 s16_18316 s16_18315 s16_13513 s16_14443 s16_14912
29087,11/1/13 16:51,10/24/15 15:59,s16_18115 s16_14175 s16_17303 s16_17719
78555,5/31/15 23:03,10/25/15 1:47,s16_15945 s16_18212 s16_18215
29171,11/2/13 0:11,10/25/15 16:48,s16_18214 s16_18215 s16_17405 s16_17407 s16_7366
111949,10/25/15 16:46,10/25/15 16:51,s16_17799 s16_17160 s16_18142 s16_15418
112191,10/26/15 0:32,10/26/15 0:41,f15_1033 f15_12373 f15_12440 f15_11324 f15_12442
90783,8/30/15 20:16,10/26/15 1:31,s16_17711 s16_17089
112502,10/26/15 12:40,10/26/15 12:43,s16_15708 s16_12972 s16_16054 s16_18404
112571,10/26/15 14:12,10/26/15 14:17,s16_17614 s16_15507 s16_15943 s16_18422 s16_17711 s16_17303 s16_18179 s16_16056
112631,10/26/15 16:54,10/26/15 17:22,s16_8636 s16_7324 s16_16139 s16_8182 s16_17642 s16_17643 s16_7919 s16_7049
107688,10/13/15 19:18,10/26/15 18:34,s16_18212 s16_17908 s16_18253 s16_7179
