id,created_at,updated_at,courses
16230,7/16/13 3:40,10/30/13 17:14,s14_15479 s14_17022 s14_17534 s14_17024 s14_14782 s14_15927 s14_15930 s14_14510 s14_17544 s14_17167
28753,10/30/13 17:14,10/30/13 17:15,s14_17207 s14_17023 s14_17027
28757,10/30/13 17:38,10/30/13 17:49,s14_16167 s14_16986 s14_17304 s14_14174 s14_14175 s14_17217
28769,10/30/13 18:24,10/30/13 19:15,s14_17246 s14_15863 s14_17331 s14_17229 s14_17292 s14_17185 s14_15770 s14_17137 s14_11709 s14_16167 s14_17215 s14_17165 s14_17515 s14_16142 s14_17517
28419,10/28/13 20:13,10/30/13 19:53, s14_16813 s14_17537 s14_17305 s14_17215 s14_15853
28784,10/30/13 19:59,10/30/13 20:21,s14_7229
28463,10/28/13 21:25,10/30/13 21:25,s14_17292 s14_15932 s14_15890 s14_12913
28802,10/30/13 21:21,10/30/13 21:26,s14_15963 s14_14782 s14_17267
28459,10/28/13 21:25,10/30/13 21:28,s14_17141 s14_7002 s14_17532 s14_7169 s14_15960
28462,10/28/13 21:25,10/30/13 21:28,s14_17141 s14_17110 s14_7050 s14_7169 s14_17267
28458,10/28/13 21:25,10/30/13 21:28,s14_9173 s14_17530 s14_17083 s14_14376 s14_17267
28464,10/28/13 21:25,10/30/13 21:33,s14_15406 s14_7017 s14_11940 s14_14376 s14_17267
28460,10/28/13 21:25,10/30/13 21:39,s14_12294 s14_7002 s14_11940 s14_16229 s14_17267
28803,10/30/13 21:29,10/30/13 21:47,s14_17315 s14_17319 s14_14763 s14_14974
28457,10/28/13 21:25,10/30/13 21:52,s14_16229 s14_15960 s14_15186 s14_16113 s14_16163
28810,10/30/13 22:01,10/30/13 22:05,s14_17262 s14_17263 s14_17264 s14_7157 s14_7158 s14_14227 s14_7918 s14_7919 s14_7920 s14_7921 s14_7922 s14_11964 s14_11965 s14_14228 s14_12602 s14_8182 s14_8183 s14_8184 s14_8185 s14_8186 s14_11967 s14_11968 s14_12604 s14_7676 s14_7678
28821,10/30/13 23:04,10/30/13 23:14,s14_12970 s14_12971 s14_7483 s14_15480 s14_17600 s14_17163 s14_14443 s14_7237 s14_13533
395,9/4/12 4:23,10/31/13 0:14,s14_16229 s14_8876 s14_16125 s14_12291 s14_17404
13479,4/26/13 19:00,10/31/13 0:57,s14_14443 s14_13166 s14_14470 s14_14912
28877,10/31/13 5:00,10/31/13 5:30,s14_16054 s14_14273 s14_15005 s14_13934 s14_15918 s14_17294
28896,10/31/13 15:17,10/31/13 15:24,s14_17232 s14_17511 s14_17512
28911,10/31/13 16:48,10/31/13 16:50,s14_13315 s14_9001
27587,10/10/13 2:25,10/31/13 17:00,s14_17606
28932,10/31/13 18:33,10/31/13 18:36,s14_17331 s14_17414 s14_17214 s14_17228
28948,10/31/13 19:28,10/31/13 19:30,s14_7285 s14_17245 s14_17260 s14_17325 s14_12913
28668,10/30/13 2:37,10/31/13 20:47,s14_7363 s14_16506 s14_7199 s14_7178 s14_17262 s14_7382 s14_17404 s14_14443
28916,10/31/13 16:58,10/31/13 23:11,s14_9001 s14_17530 s14_17582 s14_7762 s14_13902 s14_8474
28694,10/30/13 4:48,11/1/13 0:44,s14_7178 s14_9328 s14_15888 s14_16055
29015,11/1/13 1:40,11/1/13 1:54,s14_12912 s14_7230 s14_12291 s14_14751 s14_17596 s14_13934
29012,11/1/13 1:38,11/1/13 2:50,s14_16990 s14_17487 s14_7229 s14_17262
29014,11/1/13 1:40,11/1/13 3:04,s14_7053 s14_7193 s14_7229 s14_8185 s14_7542 s14_8787
29029,11/1/13 3:07,11/1/13 3:07,s14_7053
1154,11/5/12 22:59,11/1/13 3:09,s14_7240 s14_16888
29032,11/1/13 4:01,11/1/13 4:04,s14_17406 s14_7285 s14_17260 s14_17245 s14_17325 s14_12913 s14_17259
385,9/4/12 3:45,11/1/13 15:51,s14_17136 s14_17534 s14_7410 s14_14274
29077,11/1/13 16:00,11/1/13 16:25,s14_7363 s14_7178 s14_13700 s14_7199 s14_17262 s14_17263 s14_17264 s14_16506
29092,11/1/13 17:29,11/1/13 17:31,s14_15909
28813,10/30/13 22:07,11/1/13 17:47, s14_14951 s14_17232 s14_13945
29107,11/1/13 18:15,11/1/13 18:19,s14_9123 s14_15960 s14_7239 s14_7241 s14_17501
29129,11/1/13 19:31,11/1/13 19:35,s14_12964 s14_15089 s14_7251 s14_7241 s14_17500
29106,11/1/13 18:10,11/1/13 20:20,s14_10637 s14_15089 s14_12964 s14_16505 s14_15121 s14_17097 s14_15709 s14_14969 s14_15005 s14_14174 s14_14175
29148,11/1/13 20:44,11/1/13 21:17,s14_12964 s14_15089 s14_16054
29166,11/1/13 23:10,11/1/13 23:14,s14_12396 s14_15918
29167,11/1/13 23:19,11/2/13 0:06,s14_16140 s14_14706 s14_15479 s14_12396 s14_15918 s14_11093 s14_15106
28592,10/29/13 20:02,11/2/13 15:24,s14_14751 s14_15909 s14_16506 s14_7154
29249,11/2/13 18:26,11/2/13 18:54,s14_17219 s14_17223 s14_17537 s14_7949
1111,11/5/12 17:01,11/2/13 19:28,s14_7881 s14_15035 s14_17163 s14_8861 s14_8727 s14_12615 s14_17141 s14_9450 s14_15102 s14_14195
29263,11/2/13 19:45,11/2/13 19:59,s14_15927 s14_15517 s14_7226 s14_7804 s14_7099
29264,11/2/13 19:46,11/2/13 20:26,s14_17241 s14_7884 s14_7182 s14_16126 s14_8870 s14_12615
29288,11/2/13 21:57,11/2/13 22:04,s14_15770 s14_15492 s14_16986 s14_15853 s14_16038 s14_17290 s14_17291 s14_15930
29292,11/2/13 22:21,11/2/13 22:47,s14_17293 s14_15652 s14_14512 s14_17246 s14_17169 s14_17500 s14_15924 s14_16990
29379,11/3/13 17:12,11/3/13 17:13,s14_15943 s14_17542
29388,11/3/13 17:41,11/3/13 17:48,s14_17404 s14_16030 s14_17319 s14_17330 s14_17331 s14_7147
29397,11/3/13 18:12,11/3/13 18:13,s14_15963 s14_17287
29398,11/3/13 18:30,11/3/13 18:33,s14_13391 s14_17137 s14_15930 s14_17113
29432,11/3/13 20:31,11/3/13 20:34,s14_7470
29427,11/3/13 20:21,11/3/13 20:43,s14_17313 s14_15490 s14_17246 s14_16230 s14_14124 s14_16029
29438,11/3/13 20:42,11/3/13 20:45,s14_17184 s14_14907 s14_7239
29439,11/3/13 20:46,11/3/13 20:48,s14_7239 s14_14907 s14_17184
29441,11/3/13 20:57,11/3/13 21:02,s14_10637 s14_11709 s14_14911 s14_16055 s14_17330
29447,11/3/13 21:17,11/3/13 21:22,s14_14308 s14_16180
28934,10/31/13 18:34,11/3/13 21:53,s14_17102 s14_17103 s14_12970 s14_12971
892,10/31/12 14:36,11/4/13 0:28,s14_17278 s14_17332
29501,11/4/13 1:22,11/4/13 1:25,s14_14465 s14_13891 s14_15492 s14_17240
29502,11/4/13 1:24,11/4/13 2:06,s14_17617
29559,11/4/13 4:54,11/4/13 5:10,s14_17292 f13_11547 f13_1067 f13_8626 f13_1518 s14_17303 s14_16038 s14_17404 s14_17548 s14_15025
29597,11/4/13 14:32,11/4/13 14:32,s14_17278 s14_17332
27192,10/2/13 14:40,11/4/13 14:41,s14_17239 s14_11137 s14_15517 s14_17185
29605,11/4/13 15:24,11/4/13 15:34,s14_14308 s14_17165 s14_14425 s14_17305 s14_17167
29614,11/4/13 15:52,11/4/13 15:58,s14_14546 s14_16065 s14_17308
29617,11/4/13 15:57,11/4/13 16:03,s14_7139 s14_7922 s14_8182 s14_14602 s14_7881 s14_15385
29599,11/4/13 14:48,11/4/13 16:08,s14_15025 s14_14458 s14_16010 s14_9328
29503,11/4/13 1:25,11/4/13 16:11,s14_16125 s14_17214 s14_8186 s14_7922 s14_8864 s14_8682 s14_7557 s14_17213
29638,11/4/13 17:07,11/4/13 18:23, s14_17303 s14_16984 s14_16065 s14_14174
29698,11/4/13 19:29,11/4/13 19:30,s14_17097 s14_17399 s14_7355 s14_7356
29727,11/4/13 20:58,11/4/13 21:01,s14_17083 s14_17614 s14_14174 s14_12399 s14_7226
29757,11/4/13 22:24,11/4/13 22:37,s14_16888 s14_17261
794,10/29/12 22:16,11/4/13 23:05,s14_17268 s14_15963 s14_17595 s14_17548
16927,8/10/13 20:04,11/5/13 0:02,s14_14974 s14_7249 s14_14286
29796,11/5/13 1:24,11/5/13 1:33,s14_8192 s14_17556 s14_17559 s14_7073 s14_7324 s14_7944 s14_8634
1787,2/2/13 17:00,11/5/13 2:56,s14_16136 s14_8192 s14_8636 s14_17501 s14_12615 s14_17599 s14_7927 s14_17142
29540,11/4/13 3:23,11/5/13 3:21,s14_14969 s14_7157 s14_15186
1571,12/20/12 4:50,11/5/13 4:11,s14_16143 s14_17215 s14_7311 s14_17292 s14_14782 s14_17294 s14_15927 s14_17296 s14_15652 s14_15930 s14_17305 s14_17308 s14_17602 s14_17112 s14_17114 s14_17532 s14_14512
29849,11/5/13 4:12,11/5/13 4:19,s14_14782 s14_17296 s14_14512 s14_17305 s14_7017 s14_17114 s14_7311 s14_17602 s14_16163 s14_16007
29855,11/5/13 4:47,11/5/13 5:00,s14_17329 s14_15898 s14_17163 s14_17024
29873,11/5/13 5:42,11/5/13 6:00,s14_17097 s14_7355 s14_7356 s14_17399
29900,11/5/13 14:30,11/5/13 15:00,s14_17608 s14_17268 s14_15963 s14_17112 s14_10637 s14_17603 s14_17546 s14_17167 s14_7242 s14_7241
29938,11/5/13 16:17,11/5/13 16:17,s14_7249
29824,11/5/13 2:52,11/5/13 16:48,s14_17262 s14_7229 s14_10755 s14_9984 s14_17487
29972,11/5/13 17:49,11/5/13 17:53,s14_17614 s14_17543 s14_14458
29616,11/4/13 15:57,11/5/13 18:13,s14_16180 s14_16091 s14_15852 s14_17262 s14_17614 s14_17302 s14_15304 s14_17602
29991,11/5/13 18:21,11/5/13 18:53, s14_7242 s14_12398
29999,11/5/13 18:56,11/5/13 19:30,s14_16251 s14_17295 s14_14510 s14_17028 s14_17484
30026,11/5/13 20:06,11/5/13 20:12,s14_17561 s14_17588 s14_17556 s14_7384 s14_8893
18069,8/26/13 17:40,11/5/13 20:17,s14_17537 s14_16091 s14_14546 s14_16065
30067,11/5/13 22:25,11/5/13 22:32,s14_15517 s14_17602 s14_17603 s14_17619
30108,11/6/13 0:48,11/6/13 0:54,s14_17084 s14_14425 s14_17239 s14_17501
30134,11/6/13 2:06,11/6/13 2:26,s14_7355 s14_7240 s14_14174 s14_7358 s14_17304
30147,11/6/13 2:41,11/6/13 2:54,s14_17320 s14_15960 s14_17268
20331,9/3/13 5:06,11/6/13 2:58,s14_17595 s14_7804 s14_17500 s14_17187 s14_17501 s14_15304 s14_15370 s14_15852 s14_13891 s14_17208 s14_15892 s14_15770 s14_17548 s14_15958 s14_17409 s14_17191
20127,9/2/13 23:57,11/6/13 3:36,s14_15507 s14_15943
30181,11/6/13 4:45,11/6/13 5:25,s14_7470 s14_16010 s14_7229 s14_17399 s14_7472
8202,4/11/13 1:23,11/6/13 14:26,s14_17223 s14_17165 s14_17404
30224,11/6/13 14:48,11/6/13 15:08,s14_17296 s14_17552
30244,11/6/13 15:49,11/6/13 15:53,s14_7139 s14_14602 s14_15385 s14_11965 s14_11968 s14_7881
29928,11/5/13 16:03,11/6/13 15:54,s14_15507 s14_16318 s14_17602 s14_16065 s14_16066 s14_17163 s14_16112
30077,11/5/13 23:05,11/6/13 18:59,s14_17261 s14_17266 s14_12398 s14_7178
21834,9/5/13 15:13,11/6/13 19:34,s14_17083 s14_17084 s14_17085 s14_17086 s14_17087 s14_17088 s14_12968 s14_12969 s14_16010 s14_16011 s14_7252 s14_7253 s14_17537
637,10/2/12 0:12,11/6/13 19:37,s14_11661 s14_17326 s14_17601 s14_17239
656,10/9/12 2:39,11/6/13 19:42,s14_16665 s14_15652 s14_17191
30199,11/6/13 6:51,11/6/13 19:46,s14_7252 s14_15168 s14_15652 s14_17548
30310,11/6/13 19:06,11/6/13 19:56,s14_17265 s14_14969 s14_15492 s14_13533
29250,11/2/13 18:30,11/6/13 20:02,s14_17021 s14_17213 s14_17223 s14_17548
16597,8/2/13 12:25,11/6/13 20:35,s14_14425 s14_7219
29403,11/3/13 18:43,11/6/13 21:11,s14_17637 s14_7883 s14_7182 s14_16126 s14_8870 s14_12615 s14_8738
30368,11/6/13 21:33,11/6/13 21:40,s14_14969 s14_15943 s14_15507
11248,4/15/13 18:41,11/6/13 22:29,s14_17304 s14_16177 s14_7017 s14_17112 s14_15943 s14_17165 s14_17240
30333,11/6/13 20:21,11/6/13 23:12,s14_17084 s14_7241 s14_12969 s14_17085 s14_8682 s14_7207
30403,11/7/13 0:08,11/7/13 0:13,s14_15960 s14_17268 s14_17320 s14_7884
30357,11/6/13 21:12,11/7/13 0:40,s14_17304 s14_15560 s14_17133 s14_17135 s14_15637 s14_15943 s14_16055
30154,11/6/13 3:07,11/7/13 0:51,s14_11709 s14_15479 s14_17239 s14_16038
30419,11/7/13 0:54,11/7/13 0:58,s14_17165 s14_17515 s14_16402
30423,11/7/13 1:05,11/7/13 1:29,s14_16505 s14_17541 s14_17594 s14_16966 s14_13728 s14_11675
30430,11/7/13 1:39,11/7/13 1:43,s14_17559 s14_8191 s14_7324 s14_17599 s14_15035
30437,11/7/13 2:12,11/7/13 2:30,s14_16505 s14_17083 s14_17085 s14_7470 s14_13155 s14_15918 s14_7142
30440,11/7/13 2:15,11/7/13 2:37,s14_15121 s14_15923 s14_15927 s14_17295 s14_15934 s14_17536 s14_16984 s14_17225
29413,11/3/13 19:12,11/7/13 2:49,s14_17508 s14_17530 s14_17114 s14_10637 s14_14974 s14_15121 s14_9328 s14_17290 s14_17207 s14_15890 s14_17589 s14_17602 s14_17603 s14_17112
28662,10/30/13 2:21,11/7/13 4:50,s14_17171 s14_17174 s14_17296 s14_17208 s14_17429 s14_15923
30492,11/7/13 5:08,11/7/13 5:16,s14_7382 s14_8191 s14_7931
30507,11/7/13 12:44,11/7/13 13:12,s14_17278 s14_17332 s14_12464 s14_15492
30516,11/7/13 13:59,11/7/13 14:05,s14_17159 s14_16180 s14_17304
19716,9/1/13 19:06,11/7/13 15:50,s14_11138 s14_14227 s14_7919 s14_7921 s14_7922 s14_11964 s14_11965 s14_14228 s14_12602 s14_8182 s14_8184 s14_8185 s14_8186 s14_11967 s14_11968 s14_12604 s14_7676 s14_7157 s14_7158
19649,9/1/13 14:13,11/7/13 16:03, s14_17245 s14_7139 s14_17256
30543,11/7/13 16:11,11/7/13 16:11,s14_15943 s14_17542
30544,11/7/13 16:11,11/7/13 16:13,s14_15507 s14_15943 s14_14969
29918,11/5/13 15:55,11/7/13 16:48,s14_17207 s14_7139 s14_8370 s14_17547 s14_17602 s14_7169 s14_16073 s14_17289 s14_12912
30159,11/6/13 3:19,11/7/13 17:42,s14_17518 s14_17614 s14_14174 s14_17404
329,9/3/12 14:29,11/7/13 18:26,s14_15050 s14_17510 s14_17512 s14_12292 s14_17534
30594,11/7/13 19:31,11/7/13 19:48,s14_7200 s14_17262 s14_17217 s14_17207
1119,11/5/12 18:30,11/7/13 20:33,s14_17221 s14_7139 s14_15968 s14_17213 s14_17214 s14_14974
