id,created_at,updated_at,courses
56196,9/5/14 16:31,3/31/16 1:42,f16_13049
39384,2/3/14 3:52,3/31/16 2:48,f16_11108 f16_1627 f16_11110 f16_12792
136420,1/1/16 17:32,3/31/16 3:19,s16_15988 s16_17770 s16_7002 s16_17508 s16_7407 s16_18187 s16_14189 s16_18469 f16_6519 f16_12437 f16_1458 f16_12535
146078,3/31/16 4:12,3/31/16 4:25,f16_1320 f16_12791 f16_12948 f16_12799 f16_8632 f16_1007 f16_12324 f16_12976 f16_12984 f16_11994 f16_12982 f16_11853 f16_12419 f16_13049 f16_12958 f16_9404
112618,10/26/15 16:18,3/31/16 4:51,f16_12851 f16_12949 f16_12791 f16_8936 f16_2581 f16_1212
146108,3/31/16 14:00,3/31/16 14:04,f16_8119 f16_1287 f16_11473 f16_11461 f16_1717 f16_13035 f16_9704
32518,11/14/13 16:15,3/31/16 15:24,f16_8572 f16_10048 f16_10049 f16_3647 f16_9832 f16_4099 f16_12811 f16_8289 f16_4015
146130,3/31/16 15:54,3/31/16 15:57,f16_12816 f16_11118
146145,3/31/16 17:07,3/31/16 17:08,f16_12203 f16_12461 f16_12081 f16_12204
146139,3/31/16 16:44,3/31/16 17:22,f16_12455 f16_12978 f16_12977 f16_12982 f16_9288 f16_6519 f16_5834 f16_11233 f16_12996 f16_12422 f16_12957 f16_8632 f16_2233 f16_11963 f16_1107 f16_12901 f16_13044
114465,10/29/15 1:37,3/31/16 17:23,f16_12369 f16_9842 f16_12489 f16_12799 f16_12805 f16_11428 f16_1782 f16_12547
146179,3/31/16 19:03,3/31/16 19:05,f16_8949
146183,3/31/16 19:13,3/31/16 19:16,f16_1059 f16_1067 f16_9981 f16_12779 f16_11104
146189,3/31/16 19:34,3/31/16 19:43,f16_12803 f16_12792 f16_12948 f16_8936 f16_8999 f16_12817 f16_12816 f16_12275 f16_12277 f16_6846 f16_12867 f16_12866 f16_12387 f16_1075 f16_12850 f16_12350 f16_13019 f16_13020 f16_12981 f16_12907 f16_1517 f16_12901 f16_12903 f16_12955 f16_12904 f16_12953 f16_12876 f16_13048 f16_12487
146057,3/31/16 2:10,3/31/16 19:43,f16_1356 f16_12403 f16_1369 f16_13042 f16_12257
146195,3/31/16 20:03,3/31/16 20:11,f16_4382 f16_12892 f16_10048
33204,11/16/13 20:30,3/31/16 20:13,f16_12816 f16_12866 f16_13015 f16_11849 f16_11133
146226,3/31/16 22:24,3/31/16 22:28,f16_7007 f16_7191 f16_11848
139483,1/27/16 14:13,3/31/16 23:04,f16_11849 f16_1361 f16_10109 f16_6133 f16_1821 f16_13064
146228,3/31/16 22:26,3/31/16 23:19,f16_1002 f16_12799 f16_8632 f16_13005 f16_13004 f16_11845 f16_13014 f16_11833 f16_5955 f16_11836 f16_11835 f16_1627 f16_11110 f16_11111 f16_11112 f16_11113 f16_5435 f16_12276 f16_12275 f16_10092 f16_12998 f16_12983 f16_12980 f16_6846 f16_6847 f16_4382 f16_7971 f16_13060 f16_11271 f16_11272 f16_5948 f16_9638 f16_10223 f16_1068 f16_12867 f16_12348 f16_7872 f16_7873 f16_12497 f16_13018 f16_13020 f16_5834 f16_5835 f16_12455 f16_12978 f16_9288 f16_1355 f16_12403 f16_11268 f16_1468 f16_4803 f16_4804 f16_4805 f16_9985 f16_12901 f16_13035 f16_10038
58308,10/20/14 2:58,4/1/16 0:24,f16_11108 f16_12815 f16_12792 f16_11272 f16_12884 f16_13043 f16_12277 f16_9973 f16_12490 f16_12960
145933,3/30/16 6:29,4/1/16 6:28,f16_12348 f16_12868
146298,4/1/16 12:45,4/1/16 12:50,f16_1627 f16_11113 f16_6846 f16_12348 f16_10092 f16_12901
20489,9/3/13 14:59,4/1/16 13:53,f16_12203 f16_12816
146329,4/1/16 13:59,4/1/16 14:14,f16_11108 f16_11118 f16_1371 f16_12996 f16_12082
146374,4/1/16 15:57,4/1/16 15:58,f16_12369 f16_12357 f16_4685 f16_1351
33883,11/18/13 19:40,4/1/16 16:03,f16_8949 f16_1476 f16_1477
145147,3/17/16 16:18,4/1/16 16:47,f16_13062 f16_11205 f16_7946 f16_11849
146398,4/1/16 16:57,4/1/16 17:21,f16_12977 f16_12982 f16_12973 f16_12985 f16_12899 f16_12901 f16_12902 f16_12903 f16_12909 f16_12950 f16_13049 f16_12958 f16_9981 f16_12879
146441,4/1/16 18:56,4/1/16 19:01,f16_6848 f16_1464 f16_1466 f16_12960 f16_12948
146450,4/1/16 19:31,4/1/16 19:37,f16_12350 f16_12949 f16_1464 f16_1467 f16_12817
111647,10/24/15 21:08,4/1/16 20:51,f16_9842 f16_1627 f16_11110 f16_12816 f16_12815 f16_6843 f16_13050 f16_13038 f16_7823 f16_12994 f16_12927 f16_12926 f16_12922 f16_13037 f16_12988 f16_8921 f16_12924
146196,3/31/16 20:18,4/1/16 21:19,f16_7007 f16_1413 f16_13064 f16_2241 f16_9638 f16_7476
146449,4/1/16 19:29,4/1/16 21:55,f16_9842 f16_5831 f16_6607 f16_6519 f16_12939 f16_12495
