id,created_at,updated_at,courses
73131,3/27/15 23:21,3/27/15 23:25,f15_12296 f15_8557 f15_12292 f15_12289 f15_12274 f15_12377 f15_12383 f15_3681
71730,2/20/15 21:31,3/28/15 16:52,f15_12288 f15_12299 f15_11849 f15_12081 f15_12308 f15_12309 f15_7971 f15_1051 f15_12373 f15_12374 f15_5829 f15_11607 f15_11324 f15_11327 f15_11965 f15_6519 f15_11986 f15_11989
73159,3/28/15 17:41,3/28/15 17:44,f15_12280 f15_12350 f15_8122 f15_9891 f15_12271
73237,3/30/15 1:25,3/30/15 1:40,f15_3681 f15_11900 f15_12274 f15_11638
73257,3/30/15 5:24,3/30/15 6:14,f15_1780 f15_6007 f15_3636 f15_1510 f15_1513 f15_1518 f15_2450
73301,3/30/15 16:04,3/30/15 16:18,s14_15507 s14_15943 s14_7203 s14_15977 s14_17163
73336,3/30/15 19:52,3/30/15 20:10,f15_12081 f15_8975 f15_11986
73318,3/30/15 17:59,3/30/15 22:44,f15_8975 f15_12445 f15_12451 f15_12430 f15_12429 f15_12415 f15_12422 f15_12423 f15_12425 f15_12426
73376,3/30/15 23:28,3/30/15 23:36,f15_3762 f15_11436 f15_1477 f15_9990
73404,3/31/15 2:13,3/31/15 2:18,f15_12296 f15_12368 f15_12369 f15_12309 f15_9934 f15_1547 f15_2627 f15_8851 f15_12392 f15_12011
72786,3/18/15 17:29,3/31/15 8:12,f15_12289 f15_12439
73438,3/31/15 14:04,3/31/15 14:11,f15_12450 f15_5946
68004,1/31/15 21:18,3/31/15 15:14,f15_11837 f15_11986 f15_12285 f15_11849 f15_12378 f15_7244 f15_12277 f15_4356 f15_11825 f15_11652 f15_11307
73466,3/31/15 17:01,3/31/15 17:19,f15_12441 f15_12371 f15_1045 f15_12370
73478,3/31/15 18:14,3/31/15 18:18,f15_11324 f15_12442 f15_12423
73432,3/31/15 12:57,3/31/15 19:59,f15_12437
73524,3/31/15 21:56,3/31/15 21:59,f15_1819 f15_12083 f15_12322 f15_6133 f15_1779 f15_1416
73528,3/31/15 22:27,3/31/15 22:31,f15_11805 f15_12434
73526,3/31/15 22:16,3/31/15 22:46,f14_9285 f14_11918 f14_11881 f14_12003 f14_12101 f14_12140 f14_11242 f14_5832 f14_12219 f14_8959 f14_11327 f14_11964 f14_11965 f14_7938 f14_9404 f14_12014 f14_11986 f14_9981
73279,3/30/15 13:28,3/31/15 23:05,f15_12332 f15_12447 f15_12451 f15_12403 f15_11849 f15_12304 f15_9902 f15_11652 f15_5435 f15_12275 f15_12277
