,Items,Antecedent,Consequent,Support,Confidence,Lift
34,"{'CAST_301', 'CAST_300'}",{'CAST_300'},{'CAST_301'},0.0007714065312419646,1.0,1296.3333333333333
35,"{'CAST_301', 'CAST_300'}",{'CAST_301'},{'CAST_300'},0.0007714065312419646,1.0,1296.3333333333333
38,"{'JAPN_454', 'JAPN_456'}",{'JAPN_456'},{'JAPN_454'},0.0007714065312419646,1.0,972.25
37,"{'JAPN_454', 'JAPN_456'}",{'JAPN_454'},{'JAPN_456'},0.0007714065312419646,0.75,972.2499999999999
29,"{'ATHL_456', 'ATHL_459'}",{'ATHL_456'},{'ATHL_459'},0.0007714065312419646,0.75,729.1875
30,"{'ATHL_456', 'ATHL_459'}",{'ATHL_459'},{'ATHL_456'},0.0007714065312419646,0.75,729.1875
32,"{'BIOL_324', 'BIOL_323'}",{'BIOL_323'},{'BIOL_324'},0.0007714065312419646,0.75,729.1875
33,"{'BIOL_324', 'BIOL_323'}",{'BIOL_324'},{'BIOL_323'},0.0007714065312419646,0.75,729.1875
75,"{'APST_701', 'APST_213', 'MUTH_202'}","{'APST_701', 'MUTH_202'}",{'APST_213'},0.0007714065312419646,1.0,555.5714285714286
188,"{'APST_701', 'APST_213', 'PVST_002', 'MUTH_202'}","{'APST_701', 'PVST_002', 'MUTH_202'}",{'APST_213'},0.0007714065312419646,1.0,555.5714285714286
192,"{'PVST_002', 'APST_213', 'MUTH_201', 'MUTH_202'}","{'PVST_002', 'MUTH_201', 'MUTH_202'}",{'APST_213'},0.0007714065312419646,1.0,555.5714285714286
116,"{'APST_821', 'PVST_018', 'MUTH_132'}","{'APST_821', 'MUTH_132'}",{'PVST_018'},0.0007714065312419646,1.0,388.90000000000003
117,"{'APST_821', 'PVST_018', 'MUTH_132'}","{'PVST_018', 'MUTH_132'}",{'APST_821'},0.0007714065312419646,1.0,388.90000000000003
198,"{'APST_701', 'MUTH_201', 'OPTH_202', 'PVST_002'}","{'APST_701', 'MUTH_201', 'PVST_002'}",{'OPTH_202'},0.0007714065312419646,1.0,388.90000000000003
83,"{'PVST_002', 'APST_213', 'MUTH_201'}","{'PVST_002', 'MUTH_201'}",{'APST_213'},0.0007714065312419646,0.6000000000000001,333.34285714285716
196,"{'MUTH_232', 'APST_213', 'PVST_002', 'MUTH_202'}","{'MUTH_232', 'PVST_002', 'MUTH_202'}",{'APST_213'},0.0007714065312419646,0.6000000000000001,333.34285714285716
27,"{'ARBC_102', 'ARBC_101'}",{'ARBC_101'},{'ARBC_102'},0.0007714065312419646,0.5,324.0833333333333
28,"{'ARBC_102', 'ARBC_101'}",{'ARBC_102'},{'ARBC_101'},0.0007714065312419646,0.5,324.0833333333333
60,"{'PHYS_312', 'PHYS_314'}",{'PHYS_312'},{'PHYS_314'},0.0007714065312419646,0.5,324.0833333333333
61,"{'PHYS_312', 'PHYS_314'}",{'PHYS_314'},{'PHYS_312'},0.0007714065312419646,0.5,324.0833333333333
106,"{'PVST_009', 'APST_802', 'APST_800'}","{'APST_802', 'APST_800'}",{'PVST_009'},0.0007714065312419646,0.75,324.0833333333333
109,"{'APST_804', 'PVST_012', 'APST_800'}","{'PVST_012', 'APST_800'}",{'APST_804'},0.0007714065312419646,1.0,324.0833333333333
200,"{'APST_701', 'MUTH_201', 'OPTH_202', 'PVST_002'}","{'OPTH_202', 'MUTH_201', 'PVST_002'}",{'APST_701'},0.0007714065312419646,1.0,324.0833333333333
107,"{'PVST_009', 'APST_802', 'APST_800'}","{'PVST_009', 'APST_800'}",{'APST_802'},0.0007714065312419646,0.6000000000000001,291.67500000000007
15,"{'APST_714', 'PVST_013'}",{'APST_714'},{'PVST_013'},0.0007714065312419646,0.5,277.7857142857143
78,"{'APST_701', 'APST_213', 'PVST_002'}","{'APST_701', 'PVST_002'}",{'APST_213'},0.0007714065312419646,0.5,277.7857142857143
91,"{'MUTH_232', 'APST_213', 'PVST_002'}","{'MUTH_232', 'PVST_002'}",{'APST_213'},0.0007714065312419646,0.5,277.7857142857143
104,"{'APST_701', 'OPTH_203', 'PVST_002'}","{'APST_701', 'PVST_002'}",{'OPTH_203'},0.0007714065312419646,0.5,243.0625
177,"{'OPTH_202', 'MUTH_201', 'PVST_002'}","{'PVST_002', 'MUTH_201'}",{'OPTH_202'},0.0007714065312419646,0.6000000000000001,233.34000000000003
40,"{'JAZZ_131', 'JAZZ_700'}",{'JAZZ_131'},{'JAZZ_700'},0.0007714065312419646,0.5,194.45000000000002
74,"{'APST_701', 'APST_213', 'MUTH_202'}","{'APST_213', 'MUTH_202'}",{'APST_701'},0.0007714065312419646,0.6000000000000001,194.45000000000002
97,"{'APST_701', 'MUTH_201', 'PVST_002'}","{'PVST_002', 'MUTH_201'}",{'APST_701'},0.0007714065312419646,0.6000000000000001,194.45000000000002
187,"{'APST_701', 'APST_213', 'PVST_002', 'MUTH_202'}","{'PVST_002', 'APST_213', 'MUTH_202'}",{'APST_701'},0.0007714065312419646,0.6000000000000001,194.45000000000002
64,"{'PHYS_412', 'PHYS_555'}",{'PHYS_412'},{'PHYS_555'},0.0007714065312419646,0.5,176.77272727272728
67,"{'THEA_200', 'THEA_253'}",{'THEA_253'},{'THEA_200'},0.0007714065312419646,0.5,176.77272727272728
77,"{'APST_701', 'APST_213', 'PVST_002'}","{'PVST_002', 'APST_213'}",{'APST_701'},0.0007714065312419646,0.5,162.04166666666666
105,"{'APST_701', 'OPTH_203', 'PVST_002'}","{'PVST_002', 'OPTH_203'}",{'APST_701'},0.0007714065312419646,0.5,162.04166666666666
126,"{'MUTH_101', 'MHST_101', 'MUTH_131'}","{'MUTH_101', 'MHST_101'}",{'MUTH_131'},0.0007714065312419646,1.0,138.89285714285714
19,"{'APST_812', 'PVST_007'}",{'APST_812'},{'PVST_007'},0.0007714065312419646,0.75,132.57954545454544
2,"{'PVST_001', 'APST_211'}",{'APST_211'},{'PVST_001'},0.0007714065312419646,1.0,125.4516129032258
45,"{'PVST_001', 'MLIT_216'}",{'MLIT_216'},{'PVST_001'},0.0007714065312419646,1.0,125.4516129032258
179,"{'MUTH_231', 'MUTH_232', 'MUTH_202'}","{'MUTH_231', 'MUTH_202'}",{'MUTH_232'},0.0007714065312419646,1.0,114.38235294117646
6,"{'APST_242', 'PVST_004'}",{'APST_242'},{'PVST_004'},0.0007714065312419646,0.75,112.1826923076923
128,"{'MHST_101', 'MUTH_102', 'MUTH_132'}","{'MHST_101', 'MUTH_102'}",{'MUTH_132'},0.0007714065312419646,1.0,105.10810810810811
159,"{'MUTH_201', 'MUTH_132', 'MUTH_131'}","{'MUTH_201', 'MUTH_131'}",{'MUTH_132'},0.0007714065312419646,1.0,105.10810810810811
224,"{'MUTH_232', 'MUTH_201', 'MUTH_132', 'MUTH_231', 'MUTH_102'}","{'MUTH_231', 'MUTH_201', 'MUTH_102', 'MUTH_232'}",{'MUTH_132'},0.0007714065312419646,1.0,105.10810810810811
41,"{'PVST_031', 'JAZZ_803'}",{'PVST_031'},{'JAZZ_803'},0.0007714065312419646,0.5,102.3421052631579
53,"{'NSCI_211', 'PSYC_220'}",{'PSYC_220'},{'NSCI_211'},0.0007714065312419646,0.6000000000000001,101.4521739130435
118,"{'APST_821', 'MUTH_231', 'MUTH_201'}","{'APST_821', 'MUTH_201'}",{'MUTH_231'},0.0007714065312419646,1.0,94.85365853658536
127,"{'MUTH_101', 'MHST_101', 'MUTH_131'}","{'MHST_101', 'MUTH_131'}",{'MUTH_101'},0.0007714065312419646,1.0,94.85365853658536
174,"{'MUTH_231', 'PVST_001', 'MUTH_201'}","{'PVST_001', 'MUTH_201'}",{'MUTH_231'},0.0007714065312419646,1.0,94.85365853658536
222,"{'MUTH_232', 'MUTH_201', 'MUTH_132', 'MUTH_231', 'MUTH_102'}","{'MUTH_232', 'MUTH_201', 'MUTH_102', 'MUTH_132'}",{'MUTH_231'},0.0007714065312419646,1.0,94.85365853658536
129,"{'MHST_101', 'MUTH_102', 'MUTH_132'}","{'MHST_101', 'MUTH_132'}",{'MUTH_102'},0.0007714065312419646,1.0,90.44186046511629
135,"{'MUTH_101', 'MUTH_231', 'MUTH_102'}","{'MUTH_101', 'MUTH_231'}",{'MUTH_102'},0.0007714065312419646,1.0,90.44186046511629
73,"{'APST_701', 'APST_213', 'MUTH_202'}","{'APST_701', 'APST_213'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
79,"{'APST_213', 'MUTH_201', 'MUTH_202'}","{'APST_213', 'MUTH_201'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
85,"{'MUTH_232', 'APST_213', 'MUTH_202'}","{'MUTH_232', 'APST_213'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
186,"{'APST_701', 'APST_213', 'PVST_002', 'MUTH_202'}","{'APST_701', 'APST_213', 'PVST_002'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
190,"{'PVST_002', 'APST_213', 'MUTH_201', 'MUTH_202'}","{'PVST_002', 'APST_213', 'MUTH_201'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
195,"{'MUTH_232', 'APST_213', 'PVST_002', 'MUTH_202'}","{'MUTH_232', 'APST_213', 'PVST_002'}",{'MUTH_202'},0.0007714065312419646,1.0,86.42222222222223
136,"{'MUTH_101', 'MUTH_132', 'MUTH_131'}","{'MUTH_101', 'MUTH_132'}",{'MUTH_131'},0.0007714065312419646,0.6000000000000001,83.33571428571429
119,"{'APST_821', 'MUTH_231', 'MUTH_201'}","{'APST_821', 'MUTH_231'}",{'MUTH_201'},0.0007714065312419646,1.0,79.36734693877551
121,"{'MUTH_231', 'MUTH_201', 'JAZZ_803'}","{'MUTH_231', 'JAZZ_803'}",{'MUTH_201'},0.0007714065312419646,1.0,79.36734693877551
173,"{'MUTH_231', 'MUTH_201', 'OPTH_202'}","{'MUTH_231', 'OPTH_202'}",{'MUTH_201'},0.0007714065312419646,1.0,79.36734693877551
175,"{'MUTH_231', 'PVST_001', 'MUTH_201'}","{'MUTH_231', 'PVST_001'}",{'MUTH_201'},0.0007714065312419646,1.0,79.36734693877551
207,"{'MUTH_232', 'MUTH_201', 'MUTH_102', 'MUTH_132'}","{'MUTH_232', 'MUTH_201', 'MUTH_102'}",{'MUTH_132'},0.0007714065312419646,0.75,78.83108108108108
31,"{'BIOL_213', 'NSCI_327'}",{'NSCI_327'},{'BIOL_213'},0.0007714065312419646,0.75,71.14024390243902
120,"{'MUTH_231', 'MUTH_201', 'JAZZ_803'}","{'MUTH_201', 'JAZZ_803'}",{'MUTH_231'},0.0007714065312419646,0.75,71.14024390243902
137,"{'MUTH_101', 'MUTH_132', 'MUTH_131'}","{'MUTH_132', 'MUTH_131'}",{'MUTH_101'},0.0007714065312419646,0.75,71.14024390243902
214,"{'MUTH_231', 'MUTH_201', 'MUTH_102', 'MUTH_232'}","{'MUTH_232', 'MUTH_201', 'MUTH_102'}",{'MUTH_231'},0.0007714065312419646,0.75,71.14024390243902
39,"{'MUTH_232', 'JAZZ_121'}",{'JAZZ_121'},{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
84,"{'MUTH_232', 'APST_213', 'MUTH_202'}","{'APST_213', 'MUTH_202'}",{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
153,"{'MUTH_232', 'MUTH_102', 'MUTH_202'}","{'MUTH_102', 'MUTH_202'}",{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
194,"{'MUTH_232', 'APST_213', 'PVST_002', 'MUTH_202'}","{'PVST_002', 'APST_213', 'MUTH_202'}",{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
213,"{'MUTH_231', 'MUTH_201', 'MUTH_102', 'MUTH_232'}","{'MUTH_231', 'MUTH_201', 'MUTH_102'}",{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
221,"{'MUTH_232', 'MUTH_201', 'MUTH_132', 'MUTH_231', 'MUTH_102'}","{'MUTH_231', 'MUTH_201', 'MUTH_102', 'MUTH_132'}",{'MUTH_232'},0.0007714065312419646,0.6000000000000001,68.62941176470589
143,"{'MUTH_102', 'MUTH_132', 'MUTH_202'}","{'MUTH_132', 'MUTH_202'}",{'MUTH_102'},0.0007714065312419646,0.75,67.83139534883722
208,"{'MUTH_232', 'MUTH_201', 'MUTH_102', 'MUTH_132'}","{'MUTH_232', 'MUTH_201', 'MUTH_132'}",{'MUTH_102'},0.0007714065312419646,0.75,67.83139534883722
225,"{'MUTH_232', 'MUTH_201', 'MUTH_132', 'MUTH_231', 'MUTH_102'}","{'MUTH_231', 'MUTH_201', 'MUTH_132', 'MUTH_232'}",{'MUTH_102'},0.0007714065312419646,0.75,67.83139534883722
76,"{'APST_701', 'APST_213', 'PVST_002'}","{'APST_701', 'APST_213'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
81,"{'PVST_002', 'APST_213', 'MUTH_201'}","{'APST_213', 'MUTH_201'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
89,"{'MUTH_232', 'APST_213', 'PVST_002'}","{'MUTH_232', 'APST_213'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
98,"{'APST_701', 'PVST_002', 'MUTH_202'}","{'APST_701', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
103,"{'APST_701', 'OPTH_203', 'PVST_002'}","{'APST_701', 'OPTH_203'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
122,"{'LANG_101', 'PVST_002', 'MUTH_202'}","{'LANG_101', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
124,"{'PVST_002', 'LANG_200', 'MUTH_202'}","{'LANG_200', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
185,"{'APST_701', 'APST_213', 'PVST_002', 'MUTH_202'}","{'APST_701', 'APST_213', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
189,"{'PVST_002', 'APST_213', 'MUTH_201', 'MUTH_202'}","{'APST_213', 'MUTH_201', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
193,"{'MUTH_232', 'APST_213', 'PVST_002', 'MUTH_202'}","{'MUTH_232', 'APST_213', 'MUTH_202'}",{'PVST_002'},0.0007714065312419646,1.0,67.05172413793103
123,"{'LANG_101', 'PVST_002', 'MUTH_202'}","{'LANG_101', 'PVST_002'}",{'MUTH_202'},0.0007714065312419646,0.75,64.81666666666666
125,"{'PVST_002', 'LANG_200', 'MUTH_202'}","{'PVST_002', 'LANG_200'}",{'MUTH_202'},0.0007714065312419646,0.75,64.81666666666666
132,"{'MUTH_101', 'MUTH_102', 'MUTH_132'}","{'MUTH_101', 'MUTH_102'}",{'MUTH_132'},0.0007714065312419646,0.6000000000000001,63.06486486486487
139,"{'MUTH_101', 'MUTH_201', 'MUTH_132'}","{'MUTH_101', 'MUTH_201'}",{'MUTH_132'},0.0007714065312419646,0.6000000000000001,63.06486486486487
